9741,243,4.75,786,4.15,9331,4.09,1900,3.84,134,3.21
36658,36657,3.18,786,3.13,414,2.93,243,2.91,2164,2.88
1894,11,7.21,1892,6.27,1891,5.91,2164,4.28,243,4.28
